epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,141.595,1.43666,1.25183,1.13177,0.71234,0.70049,0.74464,0.35298,1.75618,1.50078,1.39798,0.000554028,0.000554028,0.000554028
2,259.528,1.46107,0.99472,1.19223,0.76458,0.68385,0.76135,0.39205,1.59461,1.46587,1.25864,0.00109871,0.00109871,0.00109871
